Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
50,Colorado Avalanche,Cameron Gaunce,CA,D,18,2020,Mississauga St. Michael's (OHL),37,3,6,9,4,47,,,,,,,1.8
50,Toronto Maple Leafs,Kenny Ryan,US,RW,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
50,Florida Panthers,Connor Brickley,US,C,18,2019,Des Moines (USHL),81,6,15,21,-2,42,,,,,,,1.3
50,New York Islanders,Johan Sundstrom,SE,C,18,2014,Frolunda (Sweden),11,0,1,1,0,6,,,,,,,-0.1
50,Nashville Predators,Colton Sissons,CA,C,18,2022,Kelowna (WHL),427,59,69,128,41,141,,,,,,,10.7
50,Columbus Blue Jackets,Dillon Heatherington,CA,D,18,2022,Swift Current (WHL),20,0,2,2,6,33,,,,,,,1
51,New York Rangers,Bruce Graham,CA,C,18,,Moncton (QMJHL),,,,,,,,,,,,,
51,Vancouver Canucks,Mason Raymond,CA,LW,19,2017,Camrose (AJHL),546,115,136,251,-2,156,,,,,,,25
51,Colorado Avalanche,Nigel Williams,US,D,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
51,Pittsburgh Penguins,Keven Veilleux,CA,C,18,,Victoriaville (QMJHL),,,,,,,,,,,,,
51,New York Rangers,Derek Stepan,US,C,18,2022,Shattuck-St. Mary's (High-MN),799,175,324,499,89,204,,,,,,,54.8
51,Carolina Hurricanes,Brian Dumoulin,US,D,18,2022,N.H. Jr. Monarchs (EJHL),439,18,92,110,86,118,,,,,,,25
51,Detroit Red Wings,Calle Jarnkrok,SE,C,18,2022,Brynas (Sweden),552,105,129,234,47,115,,,,,,,23.5
51,Phoenix Coyotes,Alexander Ruuttu,US,C,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,,
51,Montreal Canadiens,Dalton Thrower,CA,D,18,,Saskatoon (WHL),,,,,,,,,,,,,
51,Chicago Blackhawks,Carl Dahlstrom,SE,D,18,2022,Linkoping Jr. (Sweden-Jr.),65,0,10,10,4,14,,,,,,,1.9
52,Dallas Stars,Raymond Sawada,CA,RW,19,2011,Nanaimo (BCHL),11,1,0,1,-1,0,,,,,,,0
52,Colorado Avalanche,Chris Durand,CA,C,18,,Seattle (WHL),,,,,,,,,,,,,
52,Washington Capitals,Keith Seabrook,CA,D,18,,Burnaby (BCHL),,,,,,,,,,,,,
52,Los Angeles Kings,Oscar Moller,SE,C,18,2011,Chilliwack (WHL),87,12,14,26,-10,22,,,,,,,2.1
52,New Jersey Devils,Brandon Burlon,CA,D,18,,St. Michael's (OPJHL),,,,,,,,,,,,,
52,Tampa Bay Lightning,Richard Panik,SK,RW,18,2022,Trinec (Czech),521,88,107,195,8,274,,,,,,,19.1
52,Phoenix Coyotes,Phil Lane,US,RW,18,,Brampton (OHL),,,,,,,,,,,,,
52,Nashville Predators,Miikka Salomaki,FI,RW,18,2020,Karpat (Finland),167,12,15,27,-2,76,,,,,,,0.9
52,Pittsburgh Penguins,Teddy Blueger,LV,C,18,2022,Shattuck-St. Mary's (High-MN),180,30,41,71,26,62,,,,,,,6.5
52,Buffalo Sabres,Justin Bailey,US,RW,18,2022,Kitchener (OHL),82,5,4,9,-11,18,,,,,,,-0.1
53,Florida Panthers,David Booth,US,LW,19,2018,Michigan State (CCHA),530,124,112,236,-31,216,,,,,,,24.5
53,Atlanta Thrashers,Andrew Kozek,CA,LW,19,,South Surrey (BCHL),,,,,,,,,,,,,
53,Montreal Canadiens,Mathieu Carle,CA,D,18,2010,Acadie-Bathurst (QMJHL),3,0,0,0,1,4,,,,,,,0.1
53,Columbus Blue Jackets,Will Weber,US,D,18,,Gaylord (High-MI),,,,,,,,,,,,,
53,New York Islanders,Travis Hamonic,CA,D,18,2022,Moose Jaw (WHL),692,41,160,201,-1,634,,,,,,,39.3
53,Vancouver Canucks,Anton Rodin,SE,RW,18,2017,Brynas Gavle Jr. (Sweden-Jr.),3,0,1,1,1,0,,,,,,,0.1
53,Carolina Hurricanes,Mark Alt,US,D,18,2021,Cretin-Derham (High-MN),20,0,0,0,-2,4,,,,,,,0
53,Anaheim Ducks,William Karlsson,SE,C,18,2022,Vasteras Jr. (Sweden-Jr.),506,121,168,289,83,68,,,,,,,31.3
53,Tampa Bay Lightning,Brian Hart,US,RW,18,,Exeter (High-NH),,,,,,,,,,,,,
53,Washington Capitals,Madison Bowey,CA,D,18,2022,Kelowna (WHL),158,5,35,40,-22,104,,,,,,,5.3
54,Chicago Blackhawks,Jakub Sindel,CZ,C,18,,Sparta Praha (Czech),,,,,,,,,,,,,
54,Chicago Blackhawks,Dan Bertram,CA,RW,18,,Boston College (H-East),,,,,,,,,,,,,
54,New York Rangers,Artem Anisimov,RU,C,18,2021,Lokomotiv Yaroslavl 2 (Russia-3),771,180,196,376,-17,214,,,,,,,38.9
54,Nashville Predators,Jeremy Smith,US,G,18,2017,Plymouth (OHL),10,0,0,0,0,0,10,1,6,1,0.888,3.54,0.8
54,New Jersey Devils,Patrice Cormier,CA,C,18,2016,Rimouski (QMJHL),52,1,4,5,-5,18,,,,,,,-0.2
54,New Jersey Devils,Eric Gelinas,CA,D,18,2017,Lewiston (QMJHL),189,14,41,55,-16,92,,,,,,,10.5
54,Chicago Blackhawks,Justin Holl,US,D,18,2022,Minnetonka (High-MN),179,8,46,54,43,90,,,,,,,11
54,Pittsburgh Penguins,Scott Harrington,CA,D,18,2022,London (OHL),210,7,31,38,-11,77,,,,,,,6.6
54,Dallas Stars,Mike Winther,CA,C,18,,Prince Albert (WHL),,,,,,,,,,,,,
54,Dallas Stars,Philippe Desrosiers,CA,G,18,,Rimouski (QMJHL),,,,,,,,,,,,,
55,Colorado Avalanche,Victor Oreskovich,CA,RW,18,2012,Green Bay (USHL),67,2,7,9,-7,41,,,,,,,1.2
55,Columbus Blue Jackets,Adam McQuaid,CA,D,18,2019,Sudbury (OHL),512,16,57,73,62,694,,,,,,,21.3
55,Philadelphia Flyers,Denis Bodrov,RU,D,20,,Lada Togliatti (KHL),,,,,,,,,,,,,
55,Colorado Avalanche,T.J. Galiardi,CA,LW,19,2015,Dartmouth ( ),321,44,61,105,-32,136,,,,,,,7
55,Minnesota Wild,Marco Scandella,CA,D,18,2022,Val d'Or (QMJHL),674,46,110,156,-7,269,,,,,,,35.4
55,Washington Capitals,Dmitry Orlov,RU,D,18,2022,Novokuznetsk (KHL),619,53,174,227,93,263,,,,,,,44.3
55,Columbus Blue Jackets,Petr Straka,CZ,RW,18,2015,Rimouski (QMJHL),3,0,2,2,1,0,,,,,,,0.2
55,Detroit Red Wings,Ryan Sproul,CA,D,18,2018,Sault Ste. Marie (OHL),44,2,10,12,-14,12,,,,,,,1.1
55,San Jose Sharks,Chris Tierney,CA,C,18,2022,London (OHL),542,73,150,223,-59,106,,,,,,,15.5
55,Montreal Canadiens,Artturi Lehkonen,FI,LW,18,2022,Kalpa (Finland),390,71,73,144,-3,102,,,,,,,12.7
56,Dallas Stars,Nicklas Grossmann,SE,D,19,2017,Sodertalje Jr. (Sweden-Jr.),592,13,73,86,4,314,,,,,,,20.1
56,New York Rangers,Marc-Andre Cliche,CA,C,18,2015,Lewiston (QMJHL),151,3,11,14,-12,34,,,,,,,-1.5
56,Nashville Predators,Blake Geoffrion,US,C,18,2012,U.S. National U-18 (USNTDP),55,8,5,13,3,34,,,,,,,1.5
56,Chicago Blackhawks,Akim Aliu,NG,RW,18,2013,Sudbury (OHL),7,2,1,3,1,26,,,,,,,0.5
56,Montreal Canadiens,Danny Kristo,US,RW,18,,USA U-18 (USNTDP),,,,,,,,,,,,,
56,Columbus Blue Jackets,Kevin Lynch,US,C,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
56,Minnesota Wild,Johan Larsson,SE,LW,18,2022,Brynas Jr. (Sweden-Jr.),474,52,74,126,-57,244,,,,,,,6.4
56,Phoenix Coyotes,Lucas Lessio,CA,LW,18,2016,Oshawa (OHL),41,3,4,7,-11,12,,,,,,,-0.1
56,St. Louis Blues,Sam Kurker,US,RW,18,,St. John's Prep (High-MA),,,,,,,,,,,,,
56,Edmonton Oilers,Marc-Olivier Roy,CA,C,18,,Blainville-Boisbriand (QMJHL),,,,,,,,,,,,,
57,Edmonton Oilers,Geoff Paukovich,US,LW,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
57,Minnesota Wild,Matt Kassian,CA,LW,18,2014,Kamloops (WHL),76,4,1,5,-4,177,,,,,,,0.2
57,Buffalo Sabres,Mike Weber,US,D,18,2016,Windsor (OHL),351,9,44,53,-43,437,,,,,,,10.2
57,New Jersey Devils,Mike Hoeffel,US,LW,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
57,Washington Capitals,Eric Mestery,CA,D,18,,Tri-City (WHL),,,,,,,,,,,,,
57,San Jose Sharks,Taylor Doherty,CA,D,18,,Kingston (OHL),,,,,,,,,,,,,
57,Phoenix Coyotes,Oscar Lindberg,SE,C,18,2019,Skelleftea (Sweden),252,39,40,79,7,117,,,,,,,7.8
57,Calgary Flames,Tyler Wotherspoon,CA,D,18,2017,Portland (WHL),30,0,5,5,-8,4,,,,,,,0.2
57,Vancouver Canucks,Alexandre Mallet,CA,LW,20,,Rimouski (QMJHL),,,,,,,,,,,,,
57,St. Louis Blues,William Carrier,CA,LW,18,2022,Cape Breton (QMJHL),301,33,36,69,-1,148,,,,,,,5.4
58,Ottawa Senators,Kirill Lyamin,RU,D,18,,CSKA Moscow (Russia),,,,,,,,,,,,,
58,Carolina Hurricanes,Nate Hagemo,US,D,18,,Minnesota (WCHA),,,,,,,,,,,,,
58,New Jersey Devils,Alexander Vasyunov,RU,LW,18,2011,Lokomotiv Yaroslavl 2 (Russia-3),18,1,4,5,0,0,,,,,,,0.4
58,Nashville Predators,Nick Spaling,CA,C,18,2016,Kitchener (OHL),437,52,72,124,-26,120,,,,,,,7.5
58,Washington Capitals,Dmitry Kugryshev,RU,RW,18,,CSKA Moscow 2 (Russia-3),,,,,,,,,,,,,
58,Toronto Maple Leafs,Jesse Blacker,CA,D,18,2015,Windsor (OHL),1,0,0,0,-2,0,,,,,,,-0.2
58,Chicago Blackhawks,Kent Simpson,CA,G,18,2014,Everett (WHL),1,0,0,0,,0,1,,,,0.714,6,-0.1
58,Tampa Bay Lightning,Nikita Kucherov,RU,LW,18,2022,CSKA Jr. (Russia-Jr.),533,231,342,573,129,267,,,,,,,72.6
58,Phoenix Coyotes,Jordan Martinook,CA,LW,20,2022,Vancouver (WCHL),456,49,76,125,-46,200,,,,,,,6.4
58,Detroit Red Wings,Tyler Bertuzzi,CA,LW,18,2022,Guelph (OHL),254,77,94,171,-14,158,,,,,,,17.6
59,Columbus Blue Jackets,Kyle Wharton,CA,D,18,,Ottawa (OHL),,,,,,,,,,,,,
59,Phoenix Coyotes,Pier-Olivier Pelletier,CA,G,18,,Drummondville (QMJHL),,,,,,,,,,,,,
59,Colorado Avalanche,Codey Burki,CA,C,18,,Brandon (WHL),,,,,,,,,,,,,
59,Buffalo Sabres,Drew Schiestel,CA,D,18,,Mississauga (OHL),,,,,,,,,,,,,
59,Dallas Stars,Tyler Beskorowany,CA,G,18,,Owen Sound (OHL),,,,,,,,,,,,,
59,Chicago Blackhawks,Brandon Pirri,CA,C,18,2021,Georgetown (OJHL),276,72,49,121,5,91,,,,,,,14.9
59,Minnesota Wild,Jason Zucker,US,LW,18,2022,USA U-18 (USHL),540,153,133,286,13,204,,,,,,,32.7
59,Florida Panthers,Rasmus Bengtsson,SE,D,18,,Rogle Angleholm (Sweden-2),,,,,,,,,,,,,
59,New York Rangers,Cristoval Nieves,US,C,18,2020,Kent School (High-CT),76,5,14,19,3,24,,,,,,,1.4
59,Winnipeg Jets,Eric Comrie,CA,G,18,2022,Tri-City (WHL),19,0,1,1,0,0,19,9,7,1,0.894,3.2,2.1
60,New York Rangers,Brandon Dubinsky,US,C,18,2019,Portland (WHL),823,153,285,438,24,905,,,,,,,42.8
60,Los Angeles Kings,T.J. Fast,CA,D,18,,Camrose (AJHL),,,,,,,,,,,,,
60,New York Islanders,Jesse Joensuu,FI,LW,18,2015,Assat Pori ( ),129,13,11,24,-25,77,,,,,,,0.7
60,Ottawa Senators,Ruslan Bashkirov,RU,LW,18,,Quebec (QMJHL),,,,,,,,,,,,,
60,Toronto Maple Leafs,Jimmy Hayes,US,RW,18,2018,Lincoln (USHL),334,54,55,109,-29,149,,,,,,,10.1
60,Detroit Red Wings,Tomas Tatar,SK,C,18,2022,Zvolen (Slovakia),676,185,214,399,10,240,,,,,,,45.9
60,Chicago Blackhawks,Stephen Johns,US,D,18,2020,USA U-18 (USHL),167,15,18,33,-6,93,,,,,,,6.9
60,Minnesota Wild,Mario Lucia,US,LW,18,,Wayzata (High-MN),,,,,,,,,,,,,
60,New Jersey Devils,Damon Severson,CA,D,18,2022,Kelowna (WHL),538,47,168,215,-129,342,,,,,,,30.9
60,Boston Bruins,Linus Arnesson,SE,D,18,,Djurgarden (Sweden-2),,,,,,,,,,,,,
61,Pittsburgh Penguins,Alex Goligoski,US,D,19,2022,Sioux Falls (USHL),971,85,369,454,56,336,,,,,,,81.8
61,Pittsburgh Penguins,Michael Gergen,US,LW,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,
61,Chicago Blackhawks,Simon Danis-Pepin,CA,D,18,,U. Of Maine ( ),,,,,,,,,,,,,
61,Los Angeles Kings,Wayne Simmonds,CA,RW,19,2022,Owen Sound (OHL),999,262,259,521,-90,1217,,,,,,,55.3
61,Colorado Avalanche,Peter Delmas,CA,G,18,,Lewiston (QMJHL),,,,,,,,,,,,,
61,Pittsburgh Penguins,Philip Samuelsson,SE,D,18,2016,Chicago Steel (USHL),13,0,0,0,-4,2,,,,,,,-0.1
61,Edmonton Oilers,Ryan Martindale,CA,C,18,,Ottawa (OHL),,,,,,,,,,,,,
61,Ottawa Senators,Shane Prince,US,C,18,2018,Ottawa (OHL),128,12,26,38,-6,39,,,,,,,2.6
61,Dallas Stars,Devin Shore,CA,C,18,2022,Whitby (OJHL),360,46,75,121,-63,61,,,,,,,7.4
61,Washington Capitals,Zachary Sanford,US,LW,18,2022,Islanders (EJHL),262,47,43,90,0,116,,,,,,,8.3
62,Washington Capitals,Mikhail Yunkov,RU,C,18,,Krylja Sovetov (Russia),,,,,,,,,,,,,
62,Pittsburgh Penguins,Kris Letang,CA,D,18,2022,Val d'Or (QMJHL),915,140,491,631,97,647,,,,,,,105.6
62,Detroit Red Wings,Dick Axelsson,SE,W,19,,Huddinge ( ),,,,,,,,,,,,,
62,New York Islanders,Mark Katic,CA,D,18,2011,Sarnia (OHL),11,0,1,1,-9,4,,,,,,,-0.5
62,San Jose Sharks,Justin Daniels,US,C,19,,Kent School (High-CT),,,,,,,,,,,,,
62,New York Islanders,Anders Nilsson,SE,G,19,2020,Lulea Jr. (Sweden-Jr.),161,0,3,3,0,6,161,59,74,15,0.907,3.06,25.2
62,Toronto Maple Leafs,Greg McKegg,CA,C,18,2022,Erie (OHL),224,20,18,38,-21,63,,,,,,,1.5
62,Edmonton Oilers,Samu Perhonen,FI,G,18,,JyP HT Jr. (Finland-Jr.),,,,,,,,,,,,,
62,Columbus Blue Jackets,Joonas Korpisalo,FI,G,18,2022,Jokerit Jr. (Finland-Jr.),178,0,2,2,0,6,178,75,64,21,0.903,2.99,24.9
62,Phoenix Coyotes,Pavel Laplante,CA,C,18,,PEI (QMJHL),,,,,,,,,,,,,
63,Boston Bruins,David Krejci,CZ,C,18,2021,Poldi Kladno Jr. (Czech-Jr.),962,215,515,730,143,339,,,,,,,78.3
63,Anaheim Ducks,Jason Bailey,CA,RW,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
63,Carolina Hurricanes,Jamie McBain,US,D,18,2017,U.S. National U-18 (USNTDP),348,30,80,110,-17,72,,,,,,,21.3
63,Anaheim Ducks,Maxime Macenauer,CA,C,18,2012,Rouyn-Noranda (QMJHL),29,1,3,4,-4,18,,,,,,,-0.1
63,Los Angeles Kings,Robert Czarnik,US,C,18,,U.S. National U-18 (USNTDP),,,,,,,,,,,,,
63,Pittsburgh Penguins,Ben Hanowski,US,W,18,2014,Little Falls (High-MN),16,1,2,3,-2,2,,,,,,,0.1
63,Tampa Bay Lightning,Brock Beukeboom,US,D,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
63,New York Islanders,Andrey Pedan,LT,D,18,2016,Guelph (OHL),13,0,0,0,-3,18,,,,,,,-0.1
63,Edmonton Oilers,Jujhar Khaira,CA,LW,18,2022,Prince George (BCHL),285,27,39,66,-44,198,,,,,,,2.2
63,Colorado Avalanche,Spencer Martin,CA,G,18,2022,Mississauga (OHL),6,0,0,0,0,0,6,1,2,3,0.916,2.93,1.3
64,Boston Bruins,Martins Karsums,LV,RW,18,2009,Moncton (QMJHL),24,1,5,6,-8,6,,,,,,,-0.1
64,Carolina Hurricanes,Joe Barnes,CA,C,19,,Saskatoon (WHL),,,,,,,,,,,,,
64,St. Louis Blues,Jonas Junland,SE,D,18,2010,Linkoping ( ),4,0,2,2,-3,2,,,,,,,0
64,Dallas Stars,Sergei Korostin,RU,RW,18,,Dynamo Moscow ( ),,,,,,,,,,,,,
64,Atlanta Thrashers,Danick Paquette,CA,RW,18,,Lewiston (QMJHL),,,,,,,,,,,,,
64,Colorado Avalanche,Tyson Barrie,CA,D,18,2022,Kelowna (WHL),659,91,326,417,-66,207,,,,,,,60.5
64,Calgary Flames,Max Reinhart,CA,C,18,2015,Kootenay (WHL),23,1,4,5,-5,6,,,,,,,0
64,Florida Panthers,Vincent Trocheck,US,C,18,2022,Saginaw (OHL),528,144,220,364,-15,355,,,,,,,36.6
64,Montreal Canadiens,Tim Bozon,US,LW,18,,Kamloops (WHL),,,,,,,,,,,,,
64,Nashville Predators,Jonathan Diaby,CA,D,18,,Victoriaville (QMJHL),,,,,,,,,,,,,
65,Tampa Bay Lightning,Mark Tobin,CA,LW,18,,Rimouski (QMJHL),,,,,,,,,,,,,
65,Minnesota Wild,Kristofer Westblom,CA,G,18,,Kelowna (WHL),,,,,,,,,,,,,
65,Pittsburgh Penguins,Brian Strait,US,D,18,2017,U.S. National U-18 (USNTDP),187,6,23,29,-14,91,,,,,,,4.9
65,Montreal Canadiens,Olivier Fortier,CA,C,18,,Rimouski (QMJHL),,,,,,,,,,,,,
65,St. Louis Blues,Jori Lehtera,FI,C,20,2019,Tappara Tampere (Finland),307,34,77,111,12,167,,,,,,,9.4
65,Montreal Canadiens,Joonas Nattinen,FI,C,18,2014,Blues Espoo Jr. (Finland-Jr.),1,0,0,0,0,0,,,,,,,0
65,New York Islanders,Kirill Kabanov,RU,LW,18,,Moncton (QMJHL),,,,,,,,,,,,,
65,Anaheim Ducks,Joseph Cramarossa,CA,C,18,2021,Mississauga St. Michael's (OHL),63,4,7,11,-1,75,,,,,,,0.6
65,New York Islanders,Adam Pelech,CA,D,18,2022,Erie (OHL),350,19,72,91,56,106,,,,,,,22.1
65,New York Rangers,Adam Tambellini,CA,C,18,,Surrey (BCHL),,,,,,,,,,,,,
66,Washington Capitals,Sami Lepisto,FI,D,19,2012,Jokerit Helsinki (KHL),176,6,29,35,23,137,,,,,,,8.9
66,New York Rangers,Brodie Dupont,CA,C,18,2011,Calgary (WHL),1,0,0,0,0,0,,,,,,,0
66,Montreal Canadiens,Ryan White,CA,C,18,2017,Calgary (WHL),313,31,30,61,-36,447,,,,,,,2.9
66,Philadelphia Flyers,Garrett Klotz,CA,LW,18,,Saskatoon (WHL),,,,,,,,,,,,,
66,New York Islanders,David Toews,CA,C,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,
66,Buffalo Sabres,Brayden McNabb,CA,D,18,2022,Kootenay (WHL),562,22,87,109,76,413,,,,,,,29.5
66,Tampa Bay Lightning,Radko Gudas,CZ,D,20,2022,Everett (WHL),585,29,114,143,58,732,,,,,,,29.3
66,Columbus Blue Jackets,T.J. Tynan,US,C,19,2022,U of Notre Dame (CCHA),21,0,1,1,-2,2,,,,,,,-0.3
66,Nashville Predators,Jimmy Vesey,US,LW,19,2022,South Shore (EJHL),404,71,62,133,-55,98,,,,,,,9.3
66,Carolina Hurricanes,Brett Pesce,US,D,18,2022,New Hampshire (H-East),447,28,117,145,70,141,,,,,,,34.1
67,Pittsburgh Penguins,Nick Johnson,CA,RW,18,2014,St. Albert (AJHL),113,14,23,37,-8,52,,,,,,,3.1
67,Columbus Blue Jackets,Kris Russell,CA,D,18,2022,Medicine Hat (WHL),901,46,203,249,1,271,,,,,,,48.3
67,New Jersey Devils,Kirill Tulupov,RU,D,18,,Alemetjevsk (Russia),,,,,,,,,,,,,
67,Atlanta Thrashers,Spencer Machacek,CA,RW,18,2012,Vancouver (WCHL),25,2,7,9,6,7,,,,,,,1.1
67,Philadelphia Flyers,Marc-Andre Bourdon,CA,D,18,2012,Rouyn-Noranda (QMJHL),45,4,3,7,4,52,,,,,,,1.9
67,Florida Panthers,Josh Birkholz,US,RW,18,,Fargo (USHL),,,,,,,,,,,,,
67,Carolina Hurricanes,Danny Biega,CA,D,18,2015,Harvard (ECAC),10,0,2,2,-5,0,,,,,,,0.1
67,Winnipeg Jets,Adam Lowry,US,LW,18,2022,Swift Current (WHL),514,74,87,161,14,270,,,,,,,12.1
67,St. Louis Blues,Mackenzie MacEachern,US,LW,18,2021,Brother Rice High (High-MI),101,11,6,17,5,51,,,,,,,1.6
67,Calgary Flames,Keegan Kanzig,CA,D,18,,Victoria (WHL),,,,,,,,,,,,,
68,Chicago Blackhawks,Adam Berti,CA,LW,18,2008,Oshawa (OHL),2,0,0,0,0,0,,,,,,,0
68,Chicago Blackhawks,Evan Brophey,CA,C,18,2012,Belleville (OHL),4,0,0,0,0,0,,,,,,,0
68,Ottawa Senators,Eric Gryba,CA,D,18,2019,Green Bay (USHL),289,7,36,43,15,368,,,,,,,10.9
68,Columbus Blue Jackets,Jake Hansen,US,W,18,,Sioux Falls (USHL),,,,,,,,,,,,,
68,Chicago Blackhawks,Shawn Lalonde,CA,D,18,2013,Belleville (OHL),1,0,0,0,1,0,,,,,,,0.1
68,Toronto Maple Leafs,Jamie Devane,CA,LW,18,2014,Plymouth (OHL),2,0,0,0,-1,0,,,,,,,-0.1
68,Buffalo Sabres,Jerome Gauthier-Leduc,CA,D,18,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,,
68,Philadelphia Flyers,Nick Cousins,CA,C,18,2022,Sault Ste. Marie (OHL),418,52,77,129,-17,193,,,,,,,10.2
68,Minnesota Wild,John Draeger,US,D,18,,Shattuck-St. Mary's (High-MN),,,,,,,,,,,,,
68,Dallas Stars,Niklas Hansson,SE,D,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,,
69,Carolina Hurricanes,Casey Borer,US,D,19,2010,St. Cloud State (WCHA),16,1,2,3,-4,9,,,,,,,0.3
69,Calgary Flames,Gord Baldwin,CA,D,18,,Medicine Hat (WHL),,,,,,,,,,,,,
69,Columbus Blue Jackets,Steve Mason,CA,G,18,2018,London (OHL),476,0,12,12,0,22,476,205,183,64,0.911,2.7,77.8
69,Chicago Blackhawks,Maxime Tanguay,CA,C,18,,Rimouski (QMJHL),,,,,,,,,,,,,
69,Phoenix Coyotes,Michael Stone,CA,D,18,2022,Calgary (WHL),495,33,95,128,-51,270,,,,,,,23.1
69,Dallas Stars,Reilly Smith,CA,RW,18,2022,St. Michael's (OJHL),683,174,241,415,112,174,,,,,,,47.6
69,Florida Panthers,Joe Basaraba,CA,RW,18,,Shattuck St. Mary's (High-MN),,,,,,,,,,,,,
69,New Jersey Devils,forfeited pick,,,,,,,,,,,,,,,,,,
69,Carolina Hurricanes,Daniel Altshuller,CA,G,18,,Oshawa (OHL),,,,,,,,,,,,,
69,Buffalo Sabres,Nicholas Baptiste,CA,RW,18,2018,Sudbury (OHL),47,7,3,10,-3,20,,,,,,,1.1
70,Calgary Flames,Brandon Prust,CA,LW,20,2016,London (OHL),486,40,75,115,16,1036,,,,,,,8.6
70,Ottawa Senators,Vitali Anikeyenko,RU,D,18,,Lokomotiv Yaroslavl 2 (Russia-3),,,,,,,,,,,,,
70,New York Islanders,Robin Figren,SE,W,18,,Vastra Frolunda Jr. ( ),,,,,,,,,,,,,
70,Calgary Flames,John Negrin,CA,D,18,2009,Kootenay (WHL),3,0,1,1,-2,2,,,,,,,0
70,St. Louis Blues,James Livingston,CA,RW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
70,Nashville Predators,Taylor Beck,CA,RW,18,2017,Guelph (OHL),92,11,12,23,-9,32,,,,,,,1.5
70,Los Angeles Kings,Jordan Weal,CA,C,18,2020,Regina (WHL),218,32,37,69,-20,56,,,,,,,4.9
70,Chicago Blackhawks,Michael Paliotta,US,D,18,2016,USA U-18 (USHL),2,0,1,1,0,4,,,,,,,0.1
70,Winnipeg Jets,Scott Kosmachuk,CA,RW,18,2016,Guelph (OHL),8,0,3,3,1,2,,,,,,,0.2
70,New York Islanders,Eamon McAdam,US,G,18,,Waterloo (USHL),,,,,,,,,,,,,
71,Buffalo Sabres,Andrej Sekera,SK,D,18,2022,Dukla Trencin Jr. (Slovak-Jr.),834,50,202,252,13,208,,,,,,,51.7
71,Dallas Stars,Rich Clune,CA,LW,18,2016,Sarnia (OHL),139,7,15,22,-2,327,,,,,,,1.1
71,Boston Bruins,Brad Marchand,CA,LW,18,2022,Moncton (QMJHL),848,342,427,769,253,871,,,,,,,103.8
71,Florida Panthers,Evgenii Dadonov,RU,RW,18,2022,Chelyabinsk ( ),388,114,129,243,-17,58,,,,,,,24.7
71,Anaheim Ducks,Josh Brittain,CA,LW,18,,Kingston (OHL),,,,,,,,,,,,,
71,Edmonton Oilers,Troy Hesketh,US,D,18,,Minnetonka (High-MN),,,,,,,,,,,,,
71,Colorado Avalanche,Michael Bournival,CA,LW,18,2018,Shawinigan (QMJHL),113,12,10,22,-6,24,,,,,,,1.8
71,Vancouver Canucks,David Honzik,CZ,G,18,,Victoriaville (QMJHL),,,,,,,,,,,,,
71,Tampa Bay Lightning,Tanner Richard,CA,C,19,2017,Guelph (OHL),3,0,0,0,-2,2,,,,,,,-0.1
71,Montreal Canadiens,Connor Crisp,CA,LW,19,,Erie (OHL),,,,,,,,,,,,,
72,Colorado Avalanche,Denis Parshin,RU,RW,18,,CSKA Moscow 2 (Russia),,,,,,,,,,,,,
72,Los Angeles Kings,Jonathan Quick,US,G,19,2022,Avon Old Farms (High-CT),697,0,20,20,0,62,697,350,260,75,0.913,2.42,112.2
72,Minnesota Wild,Cal Clutterbuck,CA,RW,18,2022,Oshawa (OHL),925,129,131,260,-31,636,,,,,,,20.1
72,Carolina Hurricanes,Drayson Bowman,US,C/LW,18,2015,Spokane (WHL),179,15,18,33,-8,53,,,,,,,1.7
72,New York Islanders,Jyri Niemi,FI,D,18,,Saskatoon (WHL),,,,,,,,,,,,,
72,Nashville Predators,Michael Latta,CA,C,18,2016,Guelph (OHL),113,4,13,17,4,130,,,,,,,0.9
72,Tampa Bay Lightning,Adam Janosik,SK,D,18,,Gatineau (QMJHL),,,,,,,,,,,,,
72,New York Rangers,Steven Fogarty,US,C,18,2022,Edina High (High-MN),29,1,2,3,-2,12,,,,,,,-0.1
72,Colorado Avalanche,Troy Bourke,CA,LW,18,,Prince George (WHL),,,,,,,,,,,,,
72,Philadelphia Flyers,Tyrell Goulbourne,CA,LW,19,2019,Kelowna (WHL),11,0,0,0,-2,2,,,,,,,-0.2
73,New York Rangers,Zdenek Bahensky,CZ,RW,18,,Chemopetrol Litvinov Jr. (Czech),,,,,,,,,,,,,
